setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_tier,sweep2_level,sweep2_pierce_atr,sweep2_rejection_ratio,sweep2_follow_atr,sweep2_pools_swept,sweep2_rn_aligned,sweep2_rn_dist_atr,sweep2_eq_size,sweep2_age_at_alert_h1,sweep2_tiers_checked,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
A7922,EURUSD,2016-01-04T05:00:00+00:00,2016-01-04T08:00:00+00:00,2016-01-04T08:00:00+00:00,Asia,bearish,Confirmation BOS,proximal,1.09252,1.09337,1.09357,1.09167,,1.0,,1.09167,1.0,wick,,,,,,,,False,triple,sl,1.09357,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.64,0.0,1.0,True,0.64,0,-1,-1,98.0,18.0,20,premium,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2015-12-31T06:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.45,1.11,1.11,marginal,0.396,0.232,4.75,0.00164,0.923,1,36.705,False,,,,,False,5,bearish,counter_trend,True,False,True,bullish,1.0827,65.6,False,False,True,SWEPT_LOW,intact,swept,intact,swept,0.707,,PD,,False,6.0,PD,0.713,3.0,,,False,0.073,True,3.0,high,2.0,0.0,False,,,,,,0,,,,,"pd,eq",2016-01-04T04:00:00+00:00,1,2015-12-31T11:00:00+00:00,SHORT,,aligned,80.0,False,1,fresh,Asia,London,False,True,Fill only,,,0.5201,1.09922,1.08526,premium,both_premium,2.018,0.556,0.754,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
A7923,EURUSD,2016-01-04T05:00:00+00:00,2016-01-04T13:00:00+00:00,2016-01-04T14:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1.08575,1.08408,1.08388,1.08742,,1.0,,1.08742,1.0,wick,,,,,,,,False,triple,sl,1.08388,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,0.334,,,,1.096,1,-1,-1,13.0,9.0,5,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-04T00:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,0.37,0.99,0.66,marginal,0.862,0.311,0.393,0.001706,0.429,1,36.705,False,,,,,False,5,bearish,ambiguous,False,False,True,bullish,1.08833,145.8,False,False,True,BOTH_SIDES,swept,swept,intact,swept,7.897,,PW,,True,4.0,PD,,,,,,,,0.0,low,0.0,0.0,False,,,,,,0,,,,,"pd,eq",2016-01-04T04:00:00+00:00,1,2016-01-04T04:00:00+00:00,LONG,,aligned,26.2,False,0,fresh,Asia,NY,False,True,Fill only,,,0.0351,1.09922,1.08526,discount,both_discount,1.337,0.49,0.203,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,ISM Manufacturing PMI,USD,1.0,ISM Manufacturing PMI
A7924,EURUSD,2016-01-04T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.09639,1.09755,1.09775,1.09523,,1.0,,1.09523,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.694,0,-1,-1,,,65,premium,1.0,True,8.0,4.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2015-12-29T12:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,False,0,2.07,2.78,1.85,solid,0.49,1.603,0.863,0.001959,0.323,0,33.794,False,,,,,False,8,bearish,counter_trend,True,False,True,bullish,1.0827,91.4,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq",2016-01-04T07:00:00+00:00,1,2015-12-29T13:00:00+00:00,SHORT,,aligned,117.6,False,0,fresh,London,London,True,False,never_filled,,,0.7973,1.09922,1.08526,premium,both_premium,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
A7925,EURUSD,2016-01-04T18:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.08973,1.09188,1.09208,1.08758,,1.0,,1.08758,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.807,0,-1,-1,,,7,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-04T11:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.85,1.14,1.14,marginal,0.669,1.154,4.092,0.002913,0.569,0,38.619,False,,,,,False,18,bearish,with_trend,True,False,False,,1.07808,70.4,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,True,EQ,1.09434,0.096,1.973,5.582,3,True,-0.227,3.0,9.0,"pd,pw,eq",2016-01-04T17:00:00+00:00,1,2016-01-04T15:00:00+00:00,SHORT,,aligned,70.4,False,1,fresh,London,NY,False,False,never_filled,A First Pullback,premium,0.3202,1.09922,1.08526,discount,mixed,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
A7926,EURUSD,2016-01-05T08:00:00+00:00,2016-01-07T03:00:00+00:00,2016-01-07T08:00:00+00:00,London,bearish,BOS BOS,proximal,1.08208,1.08362,1.08382,1.07808,,2.6,,1.07808,2.6,wick,,,1.07808,2.6,,,,True,triple,tp1,1.07808,2.299,2.6,0.0,574.75,True,,2.299,-0.483,1.0,,,,,,,1.485,5,5,-1,46.0,44.0,3,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-01-05T05:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.48,1.45,1.45,marginal,1.144,,2.04,0.001171,0.642,0,54.63,False,,,,,False,8,bearish,with_trend,False,False,False,,1.08039,48.7,False,False,False,EXPANSION_UP,broken,intact,intact,broken,14.632,9.228,PW,PD,True,61.0,PW,,,,,,,,65.0,low,0.0,0.0,False,,,,,,0,,,,,"pd,pw,eq",2016-01-05T07:00:00+00:00,1,2016-01-05T07:00:00+00:00,SHORT,True,counter,24.2,False,2,no_fvg,Asia,Asia,False,False,Neither,,,-0.2278,1.09922,1.08526,discount,both_discount,3.295,0.442,0.52,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
A7927,EURUSD,2016-01-07T08:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.0762,1.07511,1.07491,1.07729,,1.0,,1.07729,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.57,0,-1,-1,,,15,premium,1.0,True,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-06T17:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,False,0,0.93,1.45,0.96,marginal,0.393,0.672,1.18,0.002263,0.742,0,48.07,False,,,,,False,8,bullish,with_trend,False,False,False,,1.08292,75.4,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq",2016-01-07T07:00:00+00:00,2,2016-01-06T19:00:00+00:00,LONG,,counter,53.9,False,0,fresh,NY,London,False,False,never_filled,,,-0.649,1.09922,1.08526,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
A7928,EURUSD,2016-01-07T10:00:00+00:00,2016-01-07T18:00:00+00:00,2016-01-07T19:00:00+00:00,London,bearish,BOS BOS,proximal,1.08973,1.09188,1.09208,1.08758,,1.0,,1.08758,1.0,wick,,,,,,,,False,triple,sl,1.09208,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,0.481,,6.0,,0.807,1,-1,-1,79.0,75.0,71,premium,0.0,,6.0,3.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-04T11:00:00+00:00,BOS,BOS,1,holding,True,partial,False,0,0.85,1.14,1.14,marginal,0.669,1.154,4.092,0.002913,0.569,0,40.182,False,,,,,False,10,bullish,counter_trend,False,False,False,,1.07104,79.3,False,False,True,EXPANSION_UP,broken,intact,intact,swept,3.258,6.337,PW,PD,False,1.0,PW,3.258,2.0,4.346,2.0,False,2.451,False,2.0,high,1.0,1.0,True,EQ,1.09434,0.096,1.973,5.582,3,True,-0.227,3.0,73.0,"pd,pw,eq",2016-01-07T09:00:00+00:00,2,2016-01-04T15:00:00+00:00,SHORT,,aligned,70.4,False,1,fresh,London,NY,False,False,Neither,,,0.3202,1.09922,1.08526,discount,mixed,0.621,0.479,0.058,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
A7929,EURUSD,2016-01-07T10:00:00+00:00,2016-01-08T13:00:00+00:00,2016-01-08T16:00:00+00:00,London,bullish,BOS BOS,proximal,1.08215,1.07797,1.07777,1.09103,,2.12,,1.09462,2.98,zone,,,1.09399,2.83,,,,False,triple,tp1,1.09103,2.027,2.12,0.61,506.75,True,,2.027,-0.0,1.0,,,,,,,2.077,3,3,-1,30.0,28.0,3,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2016-01-07T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.76,1.77,1.77,solid,1.888,,2.646,0.002109,0.839,0,40.182,False,,,,,False,10,bullish,with_trend,False,False,False,,1.08691,49.7,False,True,False,INSIDE,intact,intact,intact,swept,5.615,2.409,PD,PD,False,20.0,PW,,,2.409,2.0,False,0.332,True,15.0,high,0.0,1.0,False,,,,,,0,,,,,"pd,eq",2016-01-07T09:00:00+00:00,1,2016-01-07T09:00:00+00:00,LONG,False,counter,68.4,False,2,no_fvg,London,NY,True,True,Both,,,-0.2228,1.09922,1.08526,discount,mixed,0.337,0.221,0.088,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,Unemployment Rate,USD,1.0,Unemployment Rate
A7930,EURUSD,2016-01-07T12:00:00+00:00,2016-01-07T19:00:00+00:00,2016-01-07T20:00:00+00:00,London,bearish,Confirmation BOS,proximal,1.09252,1.09337,1.09357,1.09167,,1.0,,1.09167,1.0,wick,,,,,,,,False,triple,sl,1.09357,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.256,2.073,4.0,True,0.64,1,-1,-1,181.0,101.0,99,premium,0.0,,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2015-12-31T06:00:00+00:00,BOS,Confirm,0,holding,False,full,False,1,0.45,1.11,1.11,marginal,0.396,,4.75,0.00164,0.923,1,43.634,False,,,,,False,12,bullish,counter_trend,False,False,False,,1.07104,80.7,False,False,True,EXPANSION_UP,broken,intact,intact,swept,4.085,12.957,PW,PD,False,2.0,PW,,,9.421,2.0,True,,,3.0,high,0.0,1.0,False,,,,,,0,,,,,"pd,eq",2016-01-07T11:00:00+00:00,2,2015-12-31T11:00:00+00:00,SHORT,,aligned,80.0,False,1,stale,Asia,NY,False,False,Neither,,,0.5201,1.09922,1.08526,premium,both_premium,4.463,0.557,0.413,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
A7931,EURUSD,2016-01-07T16:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.0762,1.07511,1.07491,1.07729,,1.0,,1.07729,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.57,0,-1,-1,,,23,premium,1.0,True,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-06T17:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,False,0,0.93,1.45,0.96,marginal,0.393,0.672,1.18,0.002263,0.742,0,50.061,False,,,,,False,16,bullish,with_trend,False,False,False,,1.08746,83.7,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq",2016-01-07T15:00:00+00:00,3,2016-01-06T19:00:00+00:00,LONG,,counter,53.9,False,0,fresh,NY,NY,False,False,never_filled,,,-0.649,1.09922,1.08526,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
