setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A6411,EURUSD,2025-03-03T10:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.04068,1.03865,1.03845,1.04376,,1.52,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.551,0,-1,-1,,,2,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-03-03T08:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.49,1.77,1.18,marginal,1.273,,1.836,0.001438,0.262,0,False,,,,,False,10,bearish,ambiguous,False,False,True,bullish,1.04291,62.8,False,True,False,2025-03-03T09:00:00+00:00,1,2025-03-03T09:00:00+00:00,LONG,,counter,67.9,False,0,no_fvg,London,London,True,False,never_filled,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6412,EURUSD,2025-03-03T11:00:00+00:00,2025-03-03T12:00:00+00:00,2025-03-03T14:00:00+00:00,London,bearish,BOS BOS,proximal,1.04749,1.04873,1.04893,1.04528,,1.78,,sl,1.04749,0.0,-1.0,-1.0,0.0,True,,1.069,-0.118,0.0,False,False,0.927,,,,0.845,2,-1,-1,99.0,47.0,50,premium,0.0,,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-02-27T09:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,2.06,3.05,3.05,strong,0.61,1.842,3.098,0.001704,0.558,1,False,,,,,False,11,bearish,counter_trend,True,False,True,bullish,1.03597,75.7,False,False,False,2025-03-03T10:00:00+00:00,1,2025-02-27T13:00:00+00:00,SHORT,True,aligned,238.3,False,2,fresh,London,London,True,True,Both,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6413,EURUSD,2025-03-03T12:00:00+00:00,2025-03-03T14:00:00+00:00,2025-03-03T15:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.0482,1.04956,1.04976,1.04595,,1.65,,sl,1.04976,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,0.371,16.468,,True,0.919,1,-1,-1,115.0,66.0,65,premium,1.0,True,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2025-02-26T19:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,2,0.12,0.35,0.24,marginal,0.683,,0.548,0.001698,0.233,0,False,,,,,False,12,bearish,counter_trend,True,False,True,bullish,1.03597,89.5,False,False,False,2025-03-03T11:00:00+00:00,1,2025-02-26T20:00:00+00:00,SHORT,,aligned,202.8,False,0,no_fvg,NY,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6414,EURUSD,2025-03-04T09:00:00+00:00,,,London,bullish,Confirmation BOS,proximal,1.04837,1.04726,1.04706,1.05033,,1.77,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.862,0,-1,-1,,,6,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-04T03:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.97,1.74,1.74,solid,0.599,,7.276,0.00152,0.385,0,False,,,,,False,9,bullish,with_trend,False,False,False,,1.05241,31.0,False,True,False,2025-03-04T08:00:00+00:00,1,2025-03-04T08:00:00+00:00,LONG,,counter,75.4,False,1,no_fvg,Asia,London,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6415,EURUSD,2025-03-05T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.06987,1.06744,1.06724,1.07772,,3.23,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.936,0,-1,-1,,,4,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-05T11:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,1.63,1.87,1.87,solid,0.794,,4.28,0.002809,0.825,0,False,,,,,False,15,bullish,with_trend,False,False,False,,1.07772,44.8,False,True,False,2025-03-05T14:00:00+00:00,1,2025-03-05T14:00:00+00:00,LONG,,counter,81.2,False,4,no_fvg,London,NY,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6416,EURUSD,2025-03-06T14:00:00+00:00,2025-03-06T17:00:00+00:00,2025-03-06T18:00:00+00:00,NY,bullish,BOS BOS,proximal,1.08034,1.07807,1.07787,1.08455,,1.85,,sl,1.07787,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.56,0.191,14.0,True,1.048,1,-1,-1,7.0,4.0,4,discount,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2025-03-06T10:00:00+00:00,BOS,BOS,0,holding,False,none,True,0,0.16,1.07,1.07,marginal,0.878,,1.629,0.002357,0.367,0,False,,,,,False,14,bullish,with_trend,True,False,False,,1.08455,68.3,False,True,False,2025-03-06T13:00:00+00:00,1,2025-03-06T13:00:00+00:00,LONG,,aligned,35.4,False,6,no_fvg,London,NY,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6417,EURUSD,2025-03-07T16:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.07897,1.07722,1.07702,1.08201,,1.74,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.231,0,-1,-1,,,19,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-06T21:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.45,0.68,0.68,marginal,0.979,0.215,4.433,0.001584,0.387,3,False,,,,,False,16,bullish,with_trend,True,False,False,,1.08887,94.5,False,True,False,2025-03-07T15:00:00+00:00,1,2025-03-07T09:00:00+00:00,LONG,,aligned,22.8,False,1,fresh,Other,NY,False,False,never_filled,A First Pullback,premium,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6418,EURUSD,2025-03-10T08:00:00+00:00,2025-03-10T09:00:00+00:00,2025-03-10T09:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.08343,1.08469,1.08489,1.07839,,4.0,,sl,1.08489,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,0.5,,,,0.924,0,-1,-1,3.0,2.0,2,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-03-10T06:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.22,0.97,0.64,marginal,0.671,,1.178,0.001579,0.208,0,False,,,,,False,8,bullish,ambiguous,False,False,True,bearish,1.0811,70.2,False,False,False,2025-03-10T07:00:00+00:00,1,2025-03-10T07:00:00+00:00,SHORT,,aligned,65.3,False,0,no_fvg,London,London,True,False,OB only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6419,EURUSD,2025-03-11T09:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.08557,1.08335,1.08315,1.09194,,2.87,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.311,0,-1,-1,,,4,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-11T05:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.84,1.79,1.79,solid,1.094,0.515,3.092,0.001846,0.797,0,False,,,,,False,9,bullish,with_trend,True,False,False,,1.09194,62.5,False,True,False,2025-03-11T08:00:00+00:00,1,2025-03-11T07:00:00+00:00,LONG,,aligned,44.3,False,1,fresh,Asia,London,False,False,never_filled,A First Pullback,premium,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6420,EURUSD,2025-03-13T07:00:00+00:00,2025-03-13T07:00:00+00:00,2025-03-13T09:00:00+00:00,London,bearish,Confirmation BOS,proximal,1.08815,1.08954,1.08974,1.08355,,3.31,,sl,1.08815,0.0,3.31,0.0,0.0,True,,1.409,-0.17,0.0,True,True,0.36,2.712,3.0,True,1.396,2,5,-1,3.0,1.0,3,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-13T04:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.11,0.89,0.89,marginal,1.045,,2.423,0.001139,0.681,0,False,,,,,False,7,bearish,with_trend,True,False,False,,1.08695,35.5,False,False,False,2025-03-13T06:00:00+00:00,1,2025-03-13T06:00:00+00:00,SHORT,True,aligned,60.3,False,1,no_fvg,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
