setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A1128,EURUSD,2008-01-04T13:00:00+00:00,2008-01-07T01:00:00+00:00,2008-01-07T06:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.4716,1.4695,1.4693,1.4748,1.4761,1.52,2.14,sl,1.4693,-1.0,-1.0,-1.0,-250.0,True,,0.87,-0.957,5,-1,-1,2,discount,0.0,False,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-01-04T11:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,1.89,4.16,2.77,strong,0.878,,1.063,0.002164,False,,,,,False,13,bearish,against_trend,2008-01-04T12:00:00+00:00,1,2008-01-04T12:00:00+00:00,LONG,aligned,41.4,False,0,no_fvg,London,Asia,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1129,EURUSD,2008-01-10T12:00:00+00:00,2008-01-10T12:00:00+00:00,2008-01-10T13:00:00+00:00,London,bearish,BOS BOS,proximal,1.4671,1.4702,1.4704,1.4646,,0.81,,sl,1.4704,-1.0,-1.0,-1.0,-250.0,True,,0.909,-0.061,1,-1,-1,4,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2008-01-10T08:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.77,1.9,1.9,solid,1.493,,2.162,0.001943,False,,,,,False,12,bearish,with_trend,2008-01-10T11:00:00+00:00,1,2008-01-10T11:00:00+00:00,SHORT,aligned,53.2,False,1,no_fvg,London,London,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1130,EURUSD,2008-01-10T14:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.4682,1.4638,1.4636,1.4748,1.4761,1.5,1.8,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-01-10T11:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,1.44,2.73,1.82,solid,1.638,,1.131,0.002564,False,,,,,False,14,bearish,against_trend,2008-01-10T13:00:00+00:00,1,2008-01-10T13:00:00+00:00,LONG,aligned,38.9,False,0,no_fvg,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1131,EURUSD,2008-01-11T08:00:00+00:00,2008-01-11T09:00:00+00:00,2008-01-11T11:00:00+00:00,London,bearish,BOS BOS,proximal,1.4793,1.4812,1.4814,1.4708,1.4701,4.47,4.84,sl,1.4793,0.0,-1.0,-1.0,0.0,True,,1.571,-0.0,2,-1,-1,6,premium,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2008-01-11T02:00:00+00:00,BOS,BOS,holding,False,none,True,0,0.54,1.5,1.5,marginal,1.017,,1.436,0.001671,False,,,,,False,8,bearish,with_trend,2008-01-11T07:00:00+00:00,1,2008-01-11T07:00:00+00:00,SHORT,aligned,89.0,False,1,no_fvg,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1132,EURUSD,2008-01-14T06:00:00+00:00,2008-01-15T15:00:00+00:00,2008-01-15T20:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1.4818,1.4808,1.4806,1.4873,,5.5,,sl,1.4818,0.0,-1.0,-1.0,0.0,True,,3.583,-0.0,5,-1,-1,2,premium,0.0,False,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-01-14T04:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,3.16,2.78,1.85,solid,0.384,,1.63,0.002086,False,,,,,False,6,bearish,against_trend,2008-01-14T05:00:00+00:00,1,2008-01-14T05:00:00+00:00,LONG,counter,76.4,False,0,no_fvg,Asia,NY,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1133,EURUSD,2008-01-16T12:00:00+00:00,2008-01-16T13:00:00+00:00,2008-01-16T14:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.4827,1.486,1.4862,1.477,,1.73,,tp1,1.477,1.629,1.73,5.8,407.25,True,,4.343,-0.171,1,1,-1,10,discount,1.0,True,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-01-16T02:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,0,2.08,1.52,1.01,marginal,1.24,0.88,0.68,0.0025,False,,,,,False,12,bullish,against_trend,2008-01-16T11:00:00+00:00,1,2008-01-16T08:00:00+00:00,SHORT,counter,35.6,False,0,fresh,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1134,EURUSD,2008-01-16T15:00:00+00:00,,,NY,bearish,CHoCH CHoCH,proximal,1.4777,1.4818,1.482,1.4708,,1.68,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,discount,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2008-01-16T12:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,1,1.54,3.44,2.29,solid,1.09,,0.475,0.003579,False,,,,,False,15,bullish,against_trend,2008-01-16T14:00:00+00:00,1,2008-01-16T13:00:00+00:00,SHORT,counter,41.5,False,0,no_fvg,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1135,EURUSD,2008-01-17T08:00:00+00:00,2008-01-17T10:00:00+00:00,2008-01-17T11:00:00+00:00,London,bearish,BOS BOS,proximal,1.4641,1.468,1.4682,1.4593,,1.23,,sl,1.4682,-1.0,-1.0,-1.0,-250.0,True,,0.707,-0.683,1,-1,-1,3,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-01-17T05:00:00+00:00,BOS,BOS,holding,False,none,False,0,1.12,1.33,1.33,marginal,1.542,,1.833,0.0024,False,,,,,False,8,bearish,with_trend,2008-01-17T07:00:00+00:00,1,2008-01-17T07:00:00+00:00,SHORT,counter,14.6,False,2,no_fvg,Asia,London,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1136,EURUSD,2008-01-17T12:00:00+00:00,2008-01-18T01:00:00+00:00,2008-01-18T07:00:00+00:00,London,bullish,BOS BOS,proximal,1.4619,1.46,1.4598,1.4678,,3.11,,sl,1.4619,0.0,3.11,0.0,0.0,True,,1.81,-0.476,6,11,-1,3,discount,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2008-01-17T09:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.48,1.43,1.43,marginal,0.579,0.886,1.26,0.002936,False,,,,,False,12,bullish,with_trend,2008-01-17T11:00:00+00:00,1,2008-01-17T11:00:00+00:00,LONG,aligned,9.0,False,1,fresh,London,Asia,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1137,EURUSD,2008-01-17T15:00:00+00:00,,,NY,bearish,Confirmation BOS,proximal,1.4786,1.4835,1.4837,1.4708,,1.59,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,26,premium,0.0,,9.0,4.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2008-01-16T13:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,3.33,4.88,4.88,strong,1.864,3.926,4.442,0.002521,False,,,,,False,15,bullish,against_trend,2008-01-17T14:00:00+00:00,1,2008-01-16T14:00:00+00:00,SHORT,aligned,58.8,False,1,fresh,NY,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
